League,Date,Home,Away,1,2
Israel • Liga Alef,"22/12, 13:35",Holon Yirmiyahu,Ironi Modiin,1.67,1.88
Israel • Liga Alef,"22/12, 13:45",As Ashdod,Sport Club Dimona...,1.68,1.87
Vietnam • V-League 1,"22/12, 14:00",B. Binh Duong,Clb Thanh Hoa,1.72,1.92
Israel • Liga Alef,"22/12, 14:00",Tzeirey Um El Fah...,Maccabi Nujeidat ...,1.79,1.75
Vietnam • V-League 1,"22/12, 14:00",Khanh Hoa,Cong Anh Nhan Dan...,2.20,1.55
Italy • Campionato Primavera 1...,"22/12, 14:30",Us Lecce,Inter Milano U19,1.55,2.07
Italy • Campionato Primavera 1...,"22/12, 14:30",Frosinone U19,Atalanta U19,1.49,2.18
Azerbaijan • Premier League,"22/12, 15:00",Gabala,Sabah,1.80,1.84
England Amateur • Professional...,"22/12, 15:00",Barnsley,Crewe Alexandra,1.42,2.48
Kenya • Premier League,"22/12, 15:00",Gor Mahia,Bandari,2.65,1.38
Kenya • Premier League,"22/12, 15:00",Kakamega Hb,City Stars,2.01,1.66
Vietnam • V-League 1,"22/12, 15:15",Ha Noi Fc,Hong Linh Ha Tinh...,1.94,1.71
Vietnam • V-League 1,"22/12, 15:15",Tp Ho Chi Minh,Nghe An,1.82,1.81
Cameroon • Elite One,"22/12, 15:30",Pwd Bamenda,Colombe Fc,2.06,1.63
United Arab Emirates • Divisio...,"22/12, 15:45",Al Urooba,Gulf Fc,1.72,1.89
United Arab Emirates • Divisio...,"22/12, 15:45",Al Taawoun,Al Dhafra,1.85,1.76
United Arab Emirates • Divisio...,"22/12, 15:45",Al-Rams,Masafi,1.62,2.04
United Arab Emirates • Divisio...,"22/12, 15:45",Ahli Al-Fujirah,Masfoot Sports Cl...,1.96,1.67
"Honduras • Liga Nacional, Aper...","22/12, 04:00",Olimpia,Motagua,1.74,1.87
"Australia • A-League, Women","22/12, 09:00",Western United Fc...,Perth Glory (W),1.49,2.33
"Australia • A-League, Women","22/12, 11:00",Sydney Fc (W),Brisbane Roar (W)...,1.79,1.85
Australia • A-League,"22/12, 11:45",Adelaide,Newcastle Jets,1.41,2.60
Israel • Liga Alef,"22/12, 13:00",Hapoel B. Hayarde...,M. Shaaraim,1.75,1.79
Israel • Liga Alef,"22/12, 13:00",Hapoel Bueine,Ironi Nesher,1.73,1.81
Israel • Liga Alef,"22/12, 13:00",Al-Gharbiyye,H. Migdal Haemeq,1.77,1.77
Israel • Liga Alef,"22/12, 13:00",Ms Tira,Hapoel Kafr Kanna...,1.49,2.18
Israel • Liga Alef,"22/12, 13:00",M Kiryat Ata,Hapoel Bnei Zalaf...,1.70,1.85
Israel • Liga Alef,"22/12, 13:35",Holon Yirmiyahu,Ironi Modiin,1.67,1.88
Israel • Liga Alef,"22/12, 13:45",As Ashdod,Sport Club Dimona...,1.68,1.87
Vietnam • V-League 1,"22/12, 14:00",B. Binh Duong,Clb Thanh Hoa,1.72,1.92
Israel • Liga Alef,"22/12, 14:00",Tzeirey Um El Fah...,Maccabi Nujeidat ...,1.79,1.75
Vietnam • V-League 1,"22/12, 14:00",Khanh Hoa,Cong Anh Nhan Dan...,2.20,1.55
Italy • Campionato Primavera 1...,"22/12, 14:30",Us Lecce,Inter Milano U19,1.55,2.07
Italy • Campionato Primavera 1...,"22/12, 14:30",Frosinone U19,Atalanta U19,1.49,2.18
Azerbaijan • Premier League,"22/12, 15:00",Gabala,Sabah,1.80,1.84
England Amateur • Professional...,"22/12, 15:00",Barnsley,Crewe Alexandra,1.42,2.48
Kenya • Premier League,"22/12, 15:00",Gor Mahia,Bandari,2.65,1.38
Kenya • Premier League,"22/12, 15:00",Kakamega Hb,City Stars,2.01,1.66
Vietnam • V-League 1,"22/12, 15:15",Ha Noi Fc,Hong Linh Ha Tinh...,1.94,1.71
Vietnam • V-League 1,"22/12, 15:15",Tp Ho Chi Minh,Nghe An,1.82,1.81
Cameroon • Elite One,"22/12, 15:30",Pwd Bamenda,Colombe Fc,2.06,1.63
United Arab Emirates • Divisio...,"22/12, 15:45",Al Urooba,Gulf Fc,1.72,1.89
United Arab Emirates • Divisio...,"22/12, 15:45",Al Taawoun,Al Dhafra,1.85,1.76
United Arab Emirates • Divisio...,"22/12, 15:45",Al-Rams,Masafi,1.62,2.04
United Arab Emirates • Divisio...,"22/12, 15:45",Ahli Al-Fujirah,Masfoot Sports Cl...,1.96,1.67
Serbia • Superliga,"22/12, 16:00",Cukaricki,Mladost L,1.97,1.68
Israel • National League,"22/12, 16:00",Kfar Qasem,Sectzya Nes Ziona...,1.80,1.74
Israel • National League,"22/12, 16:00",H. Ramat Gan,H. Afula,1.82,1.73
Israel • National League,"22/12, 16:00",I. Tiberias,El Fahem,1.81,1.73
Israel • National League,"22/12, 16:00",H. Kfar Saba,H. Akko,1.68,1.87
Israel • National League,"22/12, 16:00",H Nazrat Elit,Ironi Rishon,1.84,1.70
Zambia • Super League,"22/12, 16:00",Red Arrows,Mutondo Stars,2.19,1.48
Uganda • Premier League,"22/12, 16:00",Sc Villa,Kampala Cc,1.79,1.82
Italy • Campionato Primavera 1...,"22/12, 16:30",Lazio Roma U19,As Roma U19,1.52,2.11
India • I-League,"22/12, 16:30",Rajasthan United,Trau Fc,1.55,2.15
Botswana • Premier League,"22/12, 17:00",Gaborone United,Security Systems ...,1.87,1.68
India • Indian Super League,"22/12, 17:30",East Bengal,Odisha Fc,1.54,2.21
International Clubs • FIFA Clu...,"22/12, 17:30",Urawa,Al Ahly,1.52,2.37
Cameroon • Elite One,"22/12, 17:30",Stade Renard,Victoria United L...,2.10,1.61
Saudi Arabia • Saudi Pro Leagu...,"22/12, 18:00",Al Hazm,Al Ahli Ksa,1.71,1.99
Saudi Arabia • Saudi Pro Leagu...,"22/12, 18:00",Al Nasr,Al Ittifaq,1.77,1.90
Saudi Arabia • Saudi Pro Leagu...,"22/12, 18:00",Al-Akhdoud Club,Al Shabab,1.60,2.15
Serbia • Superliga,"22/12, 18:00",Javor,Fk Imt Novi Beogr...,1.66,2.01
South Africa • Premiership,"22/12, 18:00",Sekhukhune United...,Stellenbosch,2.16,1.57
"Italy • Serie C, Group A","22/12, 18:15",Pro Vercelli,Virtus Verona,1.87,1.74
"Honduras • Liga Nacional, Aper...","22/12, 04:00",Olimpia,Motagua,1.74,1.87
"Australia • A-League, Women","22/12, 09:00",Western United Fc...,Perth Glory (W),1.49,2.33
"Australia • A-League, Women","22/12, 11:00",Sydney Fc (W),Brisbane Roar (W)...,1.79,1.85
Australia • A-League,"22/12, 11:45",Adelaide,Newcastle Jets,1.41,2.60
Israel • Liga Alef,"22/12, 13:00",Hapoel B. Hayarde...,M. Shaaraim,1.75,1.79
Israel • Liga Alef,"22/12, 13:00",Hapoel Bueine,Ironi Nesher,1.73,1.81
Israel • Liga Alef,"22/12, 13:00",Al-Gharbiyye,H. Migdal Haemeq,1.77,1.77
Israel • Liga Alef,"22/12, 13:00",Ms Tira,Hapoel Kafr Kanna...,1.49,2.18
Israel • Liga Alef,"22/12, 13:00",M Kiryat Ata,Hapoel Bnei Zalaf...,1.70,1.85
Israel • Liga Alef,"22/12, 13:35",Holon Yirmiyahu,Ironi Modiin,1.67,1.88
Israel • Liga Alef,"22/12, 13:45",As Ashdod,Sport Club Dimona...,1.68,1.87
Vietnam • V-League 1,"22/12, 14:00",B. Binh Duong,Clb Thanh Hoa,1.72,1.92
Israel • Liga Alef,"22/12, 14:00",Tzeirey Um El Fah...,Maccabi Nujeidat ...,1.79,1.75
Vietnam • V-League 1,"22/12, 14:00",Khanh Hoa,Cong Anh Nhan Dan...,2.20,1.55
Italy • Campionato Primavera 1...,"22/12, 14:30",Us Lecce,Inter Milano U19,1.55,2.07
Italy • Campionato Primavera 1...,"22/12, 14:30",Frosinone U19,Atalanta U19,1.49,2.18
Azerbaijan • Premier League,"22/12, 15:00",Gabala,Sabah,1.80,1.84
England Amateur • Professional...,"22/12, 15:00",Barnsley,Crewe Alexandra,1.42,2.48
Kenya • Premier League,"22/12, 15:00",Gor Mahia,Bandari,2.65,1.38
Kenya • Premier League,"22/12, 15:00",Kakamega Hb,City Stars,2.01,1.66
Vietnam • V-League 1,"22/12, 15:15",Ha Noi Fc,Hong Linh Ha Tinh...,1.94,1.71
Vietnam • V-League 1,"22/12, 15:15",Tp Ho Chi Minh,Nghe An,1.82,1.81
Cameroon • Elite One,"22/12, 15:30",Pwd Bamenda,Colombe Fc,2.06,1.63
United Arab Emirates • Divisio...,"22/12, 15:45",Al Urooba,Gulf Fc,1.72,1.89
United Arab Emirates • Divisio...,"22/12, 15:45",Al Taawoun,Al Dhafra,1.85,1.76
United Arab Emirates • Divisio...,"22/12, 15:45",Al-Rams,Masafi,1.62,2.04
United Arab Emirates • Divisio...,"22/12, 15:45",Ahli Al-Fujirah,Masfoot Sports Cl...,1.96,1.67
Serbia • Superliga,"22/12, 16:00",Cukaricki,Mladost L,1.97,1.68
Israel • National League,"22/12, 16:00",Kfar Qasem,Sectzya Nes Ziona...,1.80,1.74
Israel • National League,"22/12, 16:00",H. Ramat Gan,H. Afula,1.82,1.73
Israel • National League,"22/12, 16:00",I. Tiberias,El Fahem,1.81,1.73
Israel • National League,"22/12, 16:00",H. Kfar Saba,H. Akko,1.68,1.87
Israel • National League,"22/12, 16:00",H Nazrat Elit,Ironi Rishon,1.84,1.70
Zambia • Super League,"22/12, 16:00",Red Arrows,Mutondo Stars,2.19,1.48
Uganda • Premier League,"22/12, 16:00",Sc Villa,Kampala Cc,1.79,1.82
Italy • Campionato Primavera 1...,"22/12, 16:30",Lazio Roma U19,As Roma U19,1.52,2.11
India • I-League,"22/12, 16:30",Rajasthan United,Trau Fc,1.55,2.15
Botswana • Premier League,"22/12, 17:00",Gaborone United,Security Systems ...,1.87,1.68
India • Indian Super League,"22/12, 17:30",East Bengal,Odisha Fc,1.54,2.21
International Clubs • FIFA Clu...,"22/12, 17:30",Urawa,Al Ahly,1.52,2.37
Cameroon • Elite One,"22/12, 17:30",Stade Renard,Victoria United L...,2.10,1.61
Saudi Arabia • Saudi Pro Leagu...,"22/12, 18:00",Al Hazm,Al Ahli Ksa,1.71,1.99
Saudi Arabia • Saudi Pro Leagu...,"22/12, 18:00",Al Nasr,Al Ittifaq,1.77,1.90
Saudi Arabia • Saudi Pro Leagu...,"22/12, 18:00",Al-Akhdoud Club,Al Shabab,1.60,2.15
Serbia • Superliga,"22/12, 18:00",Javor,Fk Imt Novi Beogr...,1.66,2.01
South Africa • Premiership,"22/12, 18:00",Sekhukhune United...,Stellenbosch,2.16,1.57
"Italy • Serie C, Group A","22/12, 18:15",Pro Vercelli,Virtus Verona,1.87,1.74
Romania • Superliga,"22/12, 18:30",Otelul,Botosani,2.23,1.58
Italy • Campionato Primavera 1...,"22/12, 18:30",Torino Fc U19,Empoli U19,1.60,1.98
Italy • Campionato Primavera 1...,"22/12, 18:30",Ac Milan U19,Hellas Verona U19...,1.69,1.85
Serbia • Superliga,"22/12, 19:00",Fk Tsc Backa Topo...,Napredak,2.03,1.65
Albania • Kategoria Superiore,"22/12, 19:00",Teuta Durres,Dinamo Tirana,2.03,1.62
Albania • Kategoria Superiore,"22/12, 19:00",Vllaznia,Skenderbeu,2.04,1.61
Ivory Coast • Ligue 1,"22/12, 19:00",Mimosas,Zoman Fc,2.15,1.55
Cyprus • 1st Division,"22/12, 20:00",Karmiotissa,Apollon Lim.,1.73,1.92
Cyprus • 1st Division,"22/12, 20:00",Aek Larnaca,Doxa,2.31,1.50
Cyprus • 1st Division,"22/12, 20:00",Aris Limassol,Zakakiou,2.09,1.61
Spain Amateur • Tercera Federa...,"22/12, 20:00",Club Polideportiv...,Atletico Melilla ...,1.93,1.69
Italy • Serie A,"22/12, 20:30",Empoli,Lazio,1.88,1.86
Italy • Serie A,"22/12, 20:30",Sassuolo,Genoa,1.75,2.00
"Italy • Serie C, Group C","22/12, 20:30",Picerno,Juve Stabia,2.09,1.58
"Italy • Serie C, Group A","22/12, 20:30",Legnago,Mantova,2.05,1.61
"Italy • Serie C, Group A","22/12, 20:30",Fiorenzuola,Novara,1.79,1.81
"Italy • Serie C, Group B","22/12, 20:30",Lucchese,Ancona,1.94,1.68
"Italy • Serie C, Group C","22/12, 20:30",Turris Calcio,Brindisi,1.94,1.68
"Italy • Serie C, Group B","22/12, 20:30",Sef Torres,Asd Pineto Calcio...,2.07,1.59
"Honduras • Liga Nacional, Aper...","22/12, 04:00",Olimpia,Motagua,1.74,1.87
"Australia • A-League, Women","22/12, 09:00",Western United Fc...,Perth Glory (W),1.49,2.33
"Australia • A-League, Women","22/12, 11:00",Sydney Fc (W),Brisbane Roar (W)...,1.79,1.85
Australia • A-League,"22/12, 11:45",Adelaide,Newcastle Jets,1.41,2.60
Israel • Liga Alef,"22/12, 13:00",Hapoel B. Hayarde...,M. Shaaraim,1.75,1.79
Israel • Liga Alef,"22/12, 13:00",Hapoel Bueine,Ironi Nesher,1.73,1.81
Israel • Liga Alef,"22/12, 13:00",Al-Gharbiyye,H. Migdal Haemeq,1.77,1.77
Israel • Liga Alef,"22/12, 13:00",Ms Tira,Hapoel Kafr Kanna...,1.49,2.18
Israel • Liga Alef,"22/12, 13:00",M Kiryat Ata,Hapoel Bnei Zalaf...,1.70,1.85
Israel • Liga Alef,"22/12, 13:35",Holon Yirmiyahu,Ironi Modiin,1.67,1.88
Israel • Liga Alef,"22/12, 13:45",As Ashdod,Sport Club Dimona...,1.68,1.87
Vietnam • V-League 1,"22/12, 14:00",B. Binh Duong,Clb Thanh Hoa,1.72,1.92
Israel • Liga Alef,"22/12, 14:00",Tzeirey Um El Fah...,Maccabi Nujeidat ...,1.79,1.75
Vietnam • V-League 1,"22/12, 14:00",Khanh Hoa,Cong Anh Nhan Dan...,2.20,1.55
Italy • Campionato Primavera 1...,"22/12, 14:30",Us Lecce,Inter Milano U19,1.55,2.07
Italy • Campionato Primavera 1...,"22/12, 14:30",Frosinone U19,Atalanta U19,1.49,2.18
Azerbaijan • Premier League,"22/12, 15:00",Gabala,Sabah,1.80,1.84
England Amateur • Professional...,"22/12, 15:00",Barnsley,Crewe Alexandra,1.42,2.48
Kenya • Premier League,"22/12, 15:00",Gor Mahia,Bandari,2.65,1.38
Kenya • Premier League,"22/12, 15:00",Kakamega Hb,City Stars,2.01,1.66
Vietnam • V-League 1,"22/12, 15:15",Ha Noi Fc,Hong Linh Ha Tinh...,1.94,1.71
Vietnam • V-League 1,"22/12, 15:15",Tp Ho Chi Minh,Nghe An,1.82,1.81
Cameroon • Elite One,"22/12, 15:30",Pwd Bamenda,Colombe Fc,2.06,1.63
United Arab Emirates • Divisio...,"22/12, 15:45",Al Urooba,Gulf Fc,1.72,1.89
United Arab Emirates • Divisio...,"22/12, 15:45",Al Taawoun,Al Dhafra,1.85,1.76
United Arab Emirates • Divisio...,"22/12, 15:45",Al-Rams,Masafi,1.62,2.04
United Arab Emirates • Divisio...,"22/12, 15:45",Ahli Al-Fujirah,Masfoot Sports Cl...,1.96,1.67
Serbia • Superliga,"22/12, 16:00",Cukaricki,Mladost L,1.97,1.68
Israel • National League,"22/12, 16:00",Kfar Qasem,Sectzya Nes Ziona...,1.80,1.74
Israel • National League,"22/12, 16:00",H. Ramat Gan,H. Afula,1.82,1.73
Israel • National League,"22/12, 16:00",I. Tiberias,El Fahem,1.81,1.73
Israel • National League,"22/12, 16:00",H. Kfar Saba,H. Akko,1.68,1.87
Israel • National League,"22/12, 16:00",H Nazrat Elit,Ironi Rishon,1.84,1.70
Zambia • Super League,"22/12, 16:00",Red Arrows,Mutondo Stars,2.19,1.48
Uganda • Premier League,"22/12, 16:00",Sc Villa,Kampala Cc,1.79,1.82
Italy • Campionato Primavera 1...,"22/12, 16:30",Lazio Roma U19,As Roma U19,1.52,2.11
India • I-League,"22/12, 16:30",Rajasthan United,Trau Fc,1.55,2.15
Botswana • Premier League,"22/12, 17:00",Gaborone United,Security Systems ...,1.87,1.68
India • Indian Super League,"22/12, 17:30",East Bengal,Odisha Fc,1.54,2.21
